Nama daerah,Jumlah populasi 2022
Java - Indonesia,48640000
Northern Sumatra - Indonesia,15336134
Southern Sumatra - Indonesia,8760096
Celebes Sea,9022276
South of Java - Indonesia,41149974
Southwest of Sumatra - Indonesia,5800232
Minahassa Peninsula - Sulawesi,416288
Talaud Islands - Indonesia,110145
Northern Molucca Sea,1339187
Halmahera - Indonesia,44151
Bali Sea,4290000
Buru - Indonesia,136118
Sumbawa Region - Indonesia,509753
Ceram Sea,137972
Sulawesi - Indonesia,20340000
Southern Molucca Sea,1339187
South China Sea,84251
Borneo,21258000
Near North Coast of Irian Jaya,4300000
Flores Sea,257785
Java Sea,154340000
Sunda Strait - Indonesia,6900000
Mindanao - Philippines,21968174
Philippine Islands Region,105893381
Irian Jaya Region - Indonesia,4300000
East of Philippine Islands,110198654
Aru Islands Region - Indonesia,190920
Off West Coast of Northern Sumatra,15305230
Tanimbar Islands Reg. - Indonesia,124080
Timor Sea,1378000
Flores Region - Indonesia',293626
Irian Jaya - Indonesia,4300000
North of Halmahera - Indonesia,199936
South of Sumbawa - Indonesia,1561461
Timor Region,3311735
South of Bali - Indonesia,4362700
Bali Region - Indonesia,4362700
Near N. Coast of New Guinea - PNG.,9351649
W. Caroline Islands - Micronesia,36000
Savu Sea,5387738
South Indian Ocean,143155
Arafura Sea,4300000
New Guinea - Papua New Guinea,9593498
Near South Coast of Irian Jaya,1150000
Sumba Region - Indonesia,685186
Seram - Indonesia,137972
